CodOp,NomePrograma,EixoPrioritario,TxCofinanciamentoFinal,ObjetivoTematico,PrioridadeInvestimento,DesignacaoOperacao,SiglaFundoOperacao,BeneficiarioOperacao,DataPrevIn,DataPrevFim,CustoTotalElegivelAprovado,ApoioTotalAprovado,Pais,DesignacaoNUTSII_Dominante,DesignacaoNUTSIII_Dominante,ConcelhoDominante,FreguesiaDominante,CodigoDomínioIntervencaoDominante,ResumoDaOperacao
ALG-05-3118-FSE-000001,Programa Operacional Regional do Algarve,"05 - Investir no emprego
",80%,08 - Promover a sustentabilidade e a qualidade do emprego e apoiar a mobilidade laboral,"01 - Acesso ao emprego para os candidatos a emprego e os inativos, incluindo os desempregados de longa duração e as pessoas afastadas do mercado de trabalho, e através de iniciativas locais de emprego e apoio à mobilidade dos trabalhadores ",Apoios à contratação para adultos - Algarve,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-01-2014,31-12-2015,2893253.98,2314603.18,PT,Algarve,,,,V01102,"Salientam-se os apoios financeiros ao empregador pela contratação de desempregados inscritos nos serviços de emprego, associados à criação líquida de postos de trabalho e ao reforço de vínculos laborais mais estáveis, combatendo a segmentação e a precariedade no mercado de trabalho. As medidas de apoio à contratação incluem o reembolso de uma percentagem da Taxa Social Única paga pelo empregador."
ALG-05-3118-FSE-000002,Programa Operacional Regional do Algarve,"05 - Investir no emprego
",80%,08 - Promover a sustentabilidade e a qualidade do emprego e apoiar a mobilidade laboral,"01 - Acesso ao emprego para os candidatos a emprego e os inativos, incluindo os desempregados de longa duração e as pessoas afastadas do mercado de trabalho, e através de iniciativas locais de emprego e apoio à mobilidade dos trabalhadores ",Estágios para Adultos - Algarve,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",19-02-2014,31-12-2016,3106817.73,2485454.19,PT,Algarve,,,,V01102,"As medidas de estágios profissionais visam complementar e desenvolver as competências dos desempregados (adultos) que procuram um primeiro ou um novo emprego, de forma a melhorar o seu perfil de empregabilidade, através da aquisição de novas formações e competências junto das empresas, com vista à criação de emprego, em novas áreas profissionais tendo como objetivo o apoio à transição entre o sistema de qualificações e o mercado de trabalho."
ALG-05-3118-FSE-000003,Programa Operacional Regional do Algarve,"05 - Investir no emprego
",80%,08 - Promover a sustentabilidade e a qualidade do emprego e apoiar a mobilidade laboral,"01 - Acesso ao emprego para os candidatos a emprego e os inativos, incluindo os desempregados de longa duração e as pessoas afastadas do mercado de trabalho, e através de iniciativas locais de emprego e apoio à mobilidade dos trabalhadores ",Integração de jovens e/ou adultos no mercado laboral - Apoios à Contratação para Adultos - Algarve,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-01-2016,31-12-2019,3512694.6,2810155.68,PT,Algarve,Algarve,,,V01102,"Medidas de apoio à contratação que consistem na concessão de um apoio financeiro ao empregador que celebre contrato de trabalho com desempregado inscrito nos serviços de emprego, tendo em vista combater o desemprego, fomentando a criação líquida de postos de trabalho e promovendo a contratação de públicos mais desfavorecidos e o reforço de vínculos laborais mais estáveis e combatendo a segmentação e a precariedade no mercado de trabalho."
ALG-05-3118-FSE-000016,Programa Operacional Regional do Algarve,"05 - Investir no emprego
",80%,08 - Promover a sustentabilidade e a qualidade do emprego e apoiar a mobilidade laboral,"01 - Acesso ao emprego para os candidatos a emprego e os inativos, incluindo os desempregados de longa duração e as pessoas afastadas do mercado de trabalho, e através de iniciativas locais de emprego e apoio à mobilidade dos trabalhadores ",Integração de jovens e/ou adultos no mercado laboral - Estágios Profissionais,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-02-2018,31-12-2020,7840524.24,6272419.39,PT,Algarve,Algarve,,,V01102,"A medida estágios profissionais visa complementar e desenvolver as competências dos jovens que procuram um primeiro ou um novo emprego, de forma a melhorar o seu perfil de empregabilidade, através da aquisição de novas formações e competências junto das empresas, com vista à criação de emprego, nomeadamente em novas áreas profissionais tendo como objetivo o apoio à transição entre o sistema de qualificações e o mercado de trabalho."
ALG-05-31B3-FSE-000001,Programa Operacional Regional do Algarve,"05 - Investir no emprego
",80%,08 - Promover a sustentabilidade e a qualidade do emprego e apoiar a mobilidade laboral,"01 - Acesso ao emprego para os candidatos a emprego e os inativos, incluindo os desempregados de longa duração e as pessoas afastadas do mercado de trabalho, e através de iniciativas locais de emprego e apoio à mobilidade dos trabalhadores ",Estágios,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-01-2016,31-12-2018,7888803.13,6311042.5,PT,Algarve,Algarve,Faro,,V01102,"As medidas de estágios visam complementar e desenvolver as competências dos desempregados que procuram um primeiro ou um novo emprego, de forma a melhorar o seu perfil de empregabilidade, através da aquisição de novas formações e competências junto das empresas, com vista à criação de emprego, nomeadamente em novas áreas profissionais tendo como objetivo o apoio à transição entre o sistema de qualificações e o mercado de trabalho."
ALG-05-3524-FSE-000001,Programa Operacional Regional do Algarve,"05 - Investir no emprego
",80%,08 - Promover a sustentabilidade e a qualidade do emprego e apoiar a mobilidade laboral,"05 - Adaptação dos trabalhadores, das empresas e dos empresários à mudança ",Vida ativa para Algarve,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",05-01-2015,20-12-2016,2061592.03,1649273.62,PT,Algarve,Algarve,Faro,,V01106,"Os cursos desenvolvidos no âmbito da Medida Vida Ativa  Emprego Qualificado visam potenciar o regresso ao mercado de trabalho dos desempregados, através de uma rápida integração em ações de formação de curta duração. Esta medida pretende consolidar, integrar e aperfeiçoar um conjunto de intervenções orientadas para a ativação dos desempregados, favorecendo a aprendizagem ao longo da vida, o reforço da empregabilidade e a procura ativa de empreg"
ALG-05-3524-FSE-000132,Programa Operacional Regional do Algarve,"05 - Investir no emprego
",80%,08 - Promover a sustentabilidade e a qualidade do emprego e apoiar a mobilidade laboral,"05 - Adaptação dos trabalhadores, das empresas e dos empresários à mudança ",	Vida Ativa para Desempregados,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",23-01-2017,21-12-2018,1595000.0,1276000.0,PT,Algarve,,,,V01106,"Visa potenciar o regresso ao mercado de trabalho dos desempregados inscritos no Serviço Público de Emprego, através da participação em  percursos de formação modular, com base em unidades de formação de curta duração do Catálogo Nacional de Qualificações,  e ou da realização de Formação Prática em Contexto de Trabalho, que complemente o percurso de formação ou as competências adquiridas em diferentes contextos."
ALG-05-3524-FSE-000133,Programa Operacional Regional do Algarve,"05 - Investir no emprego
",80%,08 - Promover a sustentabilidade e a qualidade do emprego e apoiar a mobilidade laboral,"05 - Adaptação dos trabalhadores, das empresas e dos empresários à mudança ",Formação de ativos para a empregabilidade - Vida Ativa para Desempregados,FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",14-01-2019,31-12-2021,2464000.0,1971200.0,PT,Algarve,Algarve,Faro,,V01106,"A Medida Vida Ativa tem por objetivo potenciar o regresso ao mercado de trabalho dos desempregados inscritos no SPE, através do desenvolvimento de percursos de formação modular com base em UFCD que visem aquisição de competências da formação de base, tecnológicas e pessoais, capitalizáveis para obtenção de uma qualificação. À formação poderá ainda acrescer FPCT, que complemente o percurso de formação/competências adquiridas em diversos contextos"
ALG-06-4230-FSE-000001,Programa Operacional Regional do Algarve,"06 - Afirmar a coesão social e territorial
",80%,09 - Promover a integração social e combater a pobreza e qualquer discriminação,"01 - Inclusão ativa, incluindo com vista à promoção da igualdade de oportunidades e da participação ativa e a melhoria da empregabilidade ",Trabalho Socialmente Necessário (CEI e CEI+),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",01-03-2014,31-12-2016,7826768.66,6261414.93,PT,Algarve,,,,VI01109,"Realização, por desempregados subsidiados, de trabalho socialmente necessário que satisfaça necessidades sociais ou coletivas temporárias, no âmbito de projetos promovidos por entidades coletivas públicas ou privadas sem fins lucrativos, durante um período máximo de 12 meses."
ALG-07-5470-FSE-000002,Programa Operacional Regional do Algarve,"07 - Reforçar as competências
",80%,"10 - Investir na educação, na formação e na formação profissional para aquisição de competências e a aprendizagem ao longo da vida","03 - Melhoria da igualdade de acesso à aprendizagem ao longo da vida para todas as faixas etárias em contextos formais, não formais e informais, atualização do conhecimento, das aptidões e das competências dos trabalhadores, e promoção de percursos de aprendizagem flexíveis, inclusive através da orientação profissional e da validação das competências adquiridas ",Cursos de Educação e Formação de Adultos (EFA),FSE,"INSTITUTO DO EMPREGO E FORMAÇÃO PROFISSIONAL, I.P.",25-02-2016,17-12-2018,1455696.0,1164556.8,PT,Algarve,Algarve,,,VII01117,"Os Cursos de Educação e Formação para Adultos (Cursos EFA) assumem-se como uma modalidade de formação de dupla certificação e constituem-se como o principal instrumento para a qualificação de adultos, visam a redução dos seus défices de qualificação bem como a melhoria dos níveis de empregabilidade e de inclusão social e profissional e inserem-se no quadro conceptual da educação e formação ao longo da vida."
